Type	Chip	Disp	Electrolyte	IDSmed (10s - 160s) [A]	Std IDSmed [A]	IGSmed (10s - 160s) [A]	Std IGSmed [A]	IDSant_pos (35s - 50s) [A]	Std IDSant_pos [A]	IDSdep_pos (150s - 165s) [A]	Std IDSdep_pos [A]	delIDS_pos [A]	Std delIDS_pos [A]	IGSant_pos (35s - 50s) [A]	Std IGSant_pos [A]	IGSdur_pos (75s - 85s) [A]	Std IGSdur_pos [A]	IGSdep_pos (150s - 165s) [A]	Std IGSdep_pos [A]	delIGS_pos [A]	Std delIGS_pos [A]	IGS_pico_ant_pos [A]	IGS_pico_dep_pos [A]	IDSant_neg (35s - 50s) [A]	Std IDSant_neg [A]	IDSdep_neg (150s - 165s) [A]	Std IDSdep_neg [A]	delIDS_neg [A]	Std delIDS_neg [A]	IGSant_neg (35s - 50s) [A]	Std IGSant_neg [A]	IGSdur_neg (75s - 85s) [A]	Std IGSdur_neg [A]	IGSdep_neg (150s - 165s) [A]	Std IGSdep_neg [A]	delIGS_neg [A]	Std delIGS_neg [A]	IGS_pico_ant_neg [A]	IGS_pico_dep_neg [A]	Tau trans pos [s]	Std Tau trans pos [s]
Bicamada	1	1	MgCl2	8.905682983204478e-05	1.344635481824428e-07	-3.4106063929618773e-07	5.176572768875589e-08	8.925244095744682e-05	4.062677046005776e-08	9.301631569148937e-05	4.563214999449968e-08	3.7638747340425487e-06	6.109687055107438e-08	-2.0037315638297885e-07	4.3538773017366056e-08	-1.5530451115537853e-07	4.627303094628698e-08	-2.6666737765957445e-07	4.1795089806351526e-08	-6.629422127659573e-08	6.035274880052038e-08	7.87973e-06	-8.9407e-06	9.109152925531916e-05	3.641155267920709e-08	9.060198058510638e-05	6.414918047325301e-08	-4.895486702127805e-07	7.376258213959607e-08	-1.763410095744681e-07	3.8452937564159336e-08	-4.63728749003984e-07	3.1508348521951296e-08	-1.1835314122340425e-07	3.799301424197773e-08	5.7987868351063857e-08	5.4056429206008966e-08	-9.15527e-06	7.89166e-06	9.350055966497116	0.0960544233368862
Bicamada	1	2	KCl	8.576531639562784e-05	7.040559565198977e-08	-3.047352836576913e-07	5.283035115416679e-08	8.579945505319148e-05	4.7019111870214344e-08	8.965673324468086e-05	6.249287947580371e-08	3.857278191489376e-06	7.820586209639953e-08	-2.281780132978724e-07	5.542917545593794e-08	-1.613362207171315e-07	3.764057198285872e-08	-3.301716835106384e-07	3.886278715876625e-08	-1.01993670212766e-07	6.769571417359242e-08	7.33137e-06	-8.79765e-06	8.82670925531915e-05	4.833585995646034e-08	8.728244148936168e-05	7.52173276626413e-08	-9.84651063829818e-07	8.94091815108476e-08	-2.387991462765957e-07	3.750374146920831e-08	-6.111019243027888e-07	3.9756805408964246e-08	-2.7186690691489364e-07	4.182778813340056e-08	-3.306776063829792e-08	5.6179128547191454e-08	-8.53538e-06	6.99759e-06	14.2240802128503	0.1083725132311372
Bicamada	1	3	KCl	8.58817202346041e-05	5.614147290359544e-08	-2.963070565182618e-07	5.832642563645339e-08	8.466795425531915e-05	4.0876290542448345e-08	8.917777074468086e-05	5.3717526331517406e-08	4.509816489361711e-06	6.750143527131788e-08	-2.0107064521276602e-07	4.79190394306879e-08	-2.264027808764941e-07	4.174691777302599e-08	-3.421243617021277e-07	4.2645477731542505e-08	-1.4105371648936173e-07	6.41472611333587e-08	6.91414e-06	-8.2016e-06	8.72857085106383e-05	3.519695792786453e-08	8.622950744680851e-05	8.397067867851607e-08	-1.0562010638297953e-06	9.10488919488121e-08	-1.6635403723404257e-07	4.346051990879566e-08	-4.331904621513945e-07	5.4546284883881536e-08	-1.1743370585106382e-07	3.961701120763576e-08	4.8920331382978754e-08	5.8807519653261735e-08	-8.02279e-06	6.71148e-06	11.54772383263318	0.0645385243175241
Bicamada	2	1	KCl	9.236796806185016e-05	1.593377624827694e-07	-3.699810877099441e-07	5.2411319308683976e-08	9.22961765957447e-05	3.8367221914634425e-08	9.614679069148936e-05	6.829328082947779e-08	3.850614095744672e-06	7.83327257530384e-08	-1.930176776595745e-07	4.306623298721088e-08	-2.725190677290837e-07	4.2059767467253016e-08	-2.2545153989361705e-07	3.798813719007207e-08	-3.2433862234042555e-08	5.7426465944549184e-08	7.236e-06	-8.32081e-06	9.458135265957448e-05	4.095799074956139e-08	9.39108954787234e-05	6.516924882823933e-08	-6.704571808510706e-07	7.697134531160365e-08	-1.5703285292553193e-07	4.087931075318946e-08	-4.578396135458169e-07	4.071684673436856e-08	-3.094367340425532e-08	3.8367604829003794e-08	1.2608917952127662e-07	5.6064169912435394e-08	-7.82013e-06	6.50883e-06	13.728566578610932	0.0951301567927289
Bicamada	2	2	MgCl2	8.725590498533723e-05	2.004359164333433e-07	-4.78855226872834e-07	6.415292963450343e-08	8.74146255319149e-05	3.88121999683476e-08	9.12600704787234e-05	4.127758979765535e-08	3.845444946808511e-06	5.6658858847372686e-08	-2.416841755319149e-07	4.610283313869596e-08	-3.085667729083666e-07	4.4843364879368976e-08	-3.122902579787234e-07	4.7009226066095444e-08	-7.06060824468085e-08	6.58432878792342e-08	7.92742e-06	-9.56059e-06	8.951280106382978e-05	4.84626184345415e-08	8.919391117021278e-05	6.883742418355691e-08	-3.188898936169993e-07	8.418560657118835e-08	-3.735753590425532e-07	4.7516978261853043e-08	-6.454873665338647e-07	3.719293383954963e-08	-3.459606276595745e-07	3.7464672064435066e-08	2.761473138297867e-08	6.051003946481175e-08	-8.60691e-06	7.51019e-06	12.457539618874897	0.1373990111259324
Bicamada	2	3	MgCl2	8.859638043188482e-05	1.455238902940667e-07	-3.1844546387629974e-07	4.85771877351857e-08	8.886996037234042e-05	4.674501669120488e-08	9.285440265957444e-05	5.434281105084445e-08	3.98444228723404e-06	7.168150178650558e-08	-1.3255684228723408e-07	4.189491794336803e-08	4.7492828685258805e-11	5.0514311843936137e-08	-9.232370398936173e-08	4.2397766451559364e-08	4.0233138297872375e-08	5.960498930091769e-08	8.03471e-06	-8.85725e-06	9.077930824468088e-05	3.7310901514757864e-08	9.008456329787234e-05	8.674674915731235e-08	-6.94744946808535e-07	9.443040750312173e-08	-1.8512323484042562e-07	3.872722686149149e-08	-6.028379800796812e-07	4.1539001506771953e-08	-1.6422984521276597e-07	6.064543323571797e-08	2.0893389627659552e-08	7.195600511930437e-08	-8.85725e-06	7.82013e-06	10.289939514013245	0.1157047085679842
PoliDopamina	1	1	KCl	6.321016320981072e-06	4.977201529595921e-08	-3.2798288003199145e-07	5.100275302750834e-08	6.542434042553191e-06	3.99588907372004e-08	6.897969601063829e-06	4.9078858863130544e-08	3.555355585106379e-07	6.328860352586874e-08	-3.376222819148936e-07	3.638829512569911e-08	-2.385611752988048e-07	3.435996608009308e-08	-2.739594571808511e-07	5.7507336172705744e-08	6.366282473404251e-08	6.805293333748052e-08	9.78708e-06	-1.00613e-05	6.578576462765957e-06	3.4734084769689104e-08	6.442310851063829e-06	4.2326518323706754e-08	-1.3626561170212824e-07	5.475391125933408e-08	-3.111171595744681e-07	3.913444146959469e-08	-7.416623426294821e-07	4.204804296937176e-08	-1.1867021037234045e-07	4.585343781528996e-08	1.924469492021277e-07	6.028301807821003e-08	-1.25527e-05	1.00136e-05	6.6749691695561255	0.1770656639108071
PoliDopamina	1	3	KCl	1.3092631351639562e-05	3.8574858040083466e-08	-1.8942238712343378e-07	4.7534784664136537e-08	1.3011446276595746e-05	3.7942633006060974e-08	1.3451398670212764e-05	4.726493638586945e-08	4.399523936170199e-07	6.061037544012505e-08	-1.564304614361702e-07	4.851259702923663e-08	4.611639681274901e-08	3.9311280132410775e-08	-1.9656859042553223e-09	5.2342758788508585e-08	1.5446477553191488e-07	7.136691437993582e-08	1.15871e-05	-1.13249e-05	1.327560585106383e-05	3.983001237350751e-08	1.3385677127659576e-05	3.767015311172744e-08	1.1007127659574413e-07	5.48221699783468e-08	-1.428608372340426e-07	3.94361242271607e-08	-7.022425139442231e-07	4.285502891184191e-08	6.619914734042553e-08	3.856647876448139e-08	2.090599845744681e-07	5.515959733673956e-08	-1.36614e-05	1.08242e-05	5.721070519989253	0.1006511984286857
Enode	1	1	MgCl2	1.064081852839243e-05	1.1015972314450165e-07	-4.158055705145296e-07	9.139062702131221e-08	1.0942457978723404e-05	3.4741641337692616e-08	1.459071063829787e-05	5.42080327982685e-08	3.648252659574467e-06	6.438549885412884e-08	-2.3667490425531922e-07	4.4573991196438084e-08	-7.34252705179283e-08	3.498842715707365e-08	-7.00036835106383e-08	4.46373823753074e-08	1.666712207446809e-07	6.308198313702211e-08	5.62668e-06	-6.35386e-06	1.2452306117021275e-05	4.27580640637795e-08	1.1623631117021274e-05	5.22419602983618e-08	-8.28675000000001e-07	6.750906945216977e-08	-2.956136595744681e-07	4.38527329343239e-08	-5.657930876494023e-07	3.432216571080979e-08	-2.042411037234043e-07	4.563442742991174e-08	9.137255585106385e-08	6.328951850555522e-08	-7.09295e-06	6.63996e-06	5.8089538378779055	0.0492687913901175
Enode	1	2	KCl	1.170059037589976e-05	9.371770590814329e-08	-8.934808693681687e-08	4.2445442571281413e-08	1.1954848670212769e-05	2.780549966392057e-08	1.4688167553191488e-05	3.3019738910695444e-08	2.733318882978721e-06	4.3167684316983954e-08	-1.0044005664893618e-07	3.898177234073258e-08	-3.462291155378486e-08	4.633976195431208e-08	-9.67623486702128e-08	4.330582050100881e-08	3.677707978723407e-09	5.826639395131897e-08	5.96046e-06	-6.48499e-06	1.3030277393617022e-05	3.42893529771073e-08	1.1985512499999998e-05	2.407822868623592e-08	-1.044764893617024e-06	4.1898935836788646e-08	3.0975385638297875e-08	3.705015451276464e-08	-2.7161666135458165e-07	3.6598321963839546e-08	2.218688414893617e-07	4.628553307446043e-08	1.908934558510639e-07	5.9287979569274464e-08	-6.9499e-06	7.16448e-06	9.85020276250282	0.068994394883053
